name,icao,iata,country,callsign
1Time Airline,RNX,1T,South Africa,NEXTIME
40-Mile Air,MLA,Q5,United States,MILE-AIR
611897 Alberta Limited,THD,,Canada,DONUT
Ansett Australia,AAA,AN,Australia,ANSETT
Abelag Aviation,AAB,W9,Belgium,ABG
Army Air Corps,AAC,,United Kingdom,ARMYAIR
Aigle Azur,AAF,ZI,France,AIGLE AZUR
Aloha Airlines,AAH,AQ,United States,ALOHA
American Airlines,AAL,AA,United States,AMERICAN
Asiana Airlines,AAR,OZ,Republic of Korea,ASIANA
Askari Aviation,AAS,4K,Pakistan,AL-AAS
Astro Air International,AAV,,United States,ASTRO-PHIL
Afriqiyah Airways,AAW,8U,Libya,AFRIQIYAH
Afrinat International Airlines,AFU,Q9,Gambia,
Allegiant Air,AAY,G4,United States,ALLEGIANT
Angus Aviation,AAZ,,Canada,ANGUS
African Business and Transportations,ABB,,Democratic Republic of the Congo,AFRICAN BUSINESS-
Aban Air,ABE,K5,Iran,ABAN
Aerial Oy,ABF,,Finland,SKYWINGS
Abakan-Avia,ABG,,Russia,ABAKAN-AVIA
ABSA - Aerolinhas Brasileiras,TUS,M3,Brazil,ABSA Cargo
Abaet,ABJ,,Brazil,Abaet
Antrak Air,ABV,04,Ghana,ANTRAK
Airborne Express,ABX,GB,United States,ABEX
ABX Air,ABX,GB,United States,ABEX
Astral Aviation,ACP,8V,Kenya,ASTRAL CARGO
Aero Asia International,RSO,E4,Pakistan,AERO ASIA
Air Charters,ACX,,Canada,PARAIR
Air Togo,TGA,YT,Togo,AIR TOGO
Atlas Cargo Lines,ACY,,Morocco,ATLAS CARGOLINES
Ada Air,ADE,ZY,Albania,ADA AIR
ADC Airlines,ADK,Z7,Nigeria,ADCO
Aerodienst GmbH,ADN,,Germany,AERODIENST
Aerodyne,ADY,,United States,AERODYNE
Adria Airways,ADR,JP,Slovenia,ADRIA
Air Europa,AEA,UX,Spain,EUROPA
Air Southwest Ltd.,ASW,,Canada,AIRSOUTHWEST
Aero Benin,AEB,EM,Benin,AEROBEN
Aegean Airlines,AEE,A3,Greece,AEGEAN
Aerofumigaciones Sam,AEG,,Chile,FUMIGACIONES SAM
Air Atlantique,AAG,KI,United Kingdom,ATLANTIC
Air Europe,AEL,PE,Italy,AIR EUROPE
Alaska Central Express,AER,KO,United States,ACE AIR
Astraeus,AEU,5W,United Kingdom,FLYSTAR
Aerosvit Airlines,AEW,VV,Ukraine,AEROSVIT
Air Italy,AEY,I9,Italy,AIR ITALY
Aerial Transit Company,AEZ,,United States,AERIAL TRANZ
American Falcon,AFB,WK,Argentina,AMERICAN FALCON
Alliance Airlines,UTY,QQ,Australia,UNITY
Auvia Air,UVT,,Indonesia,AUVIA
Ariana Afghan Airlines,AFG,FG,Afghanistan,ARIANA
Africaone,AFI,,Uganda,AFRICAWORLD
Aeroflot Russian Airlines,AFL,SU,Russia,AEROFLOT
Air Bosna,BON,JA,Bosnia and Herzegovina,AIR BOSNA
Air France,AFR,AF,France,AIRFRANS
Air Partner,ACG,,United Kingdom,AIR PARTNER
Air Caledonie International,ACI,SB,France,AIRCALIN
Air Gabon,AGN,GN,Gabon,GOLF NOVEMBER
Air Cargo Carriers,SNC,2Q,United States,NIGHT CARGO
Air Senegal International,SNG,V7,Senegal,AIR SENEGAL
Air Namibia,NMB,SW,Namibia,NAMIBIA
Afrique Regional Airways,AFW,,Ivory Coast,AFRAIR
Air Service Gabon,AGB,G8,Gabon,
Arab Agricultural Aviation Company,AGC,,Egypt,AGRICO
Aerolitoral,SLI,5D,Mexico,COSTERA
Amadeus Global Travel Distribution,AGT,1A,Spain,AMADEUS
Angara Airlines,AGU,,Russia,SARMA
Air Glaciers,AGV,7T,Switzerland,AIR GLACIERS
Aviogenex,AGX,,Serbia,GENEX
Aeroper,PLI,PL,Peru,Aeroperu
Atlas Blue,BMM,8A,Morocco,ATLAS BLUE
Air Alpha Greenland,AHA,GD,Denmark,AIR ALPHA
Air Hong Kong,AHK,LD,Hong Kong,AIR HONG KONG
Aeromist-Kharkiv,AHW,HT,Ukraine,AEROMIST
Azerbaijan Airlines,AHY,J2,Azerbaijan,AZAL
Avies,AIA,U3,Estonia,AVIES
Airbus Industrie,AIB,AP,France,AIRBUS INDUSTRIE
Alpine Air Chile,AIH,,Chile,ALPINE CHILE
ABC Aerolineas,AIJ,,Mexico,ABC AEROLINEAS
Alpine Air Express,AIP,5A,United States,ALPINE AIR
Aba Air,ABP,,Czech Republic,BAIR
Airblue,ABQ,ED,Pakistan,PAKBLUE
Air Berlin,BER,AB,Germany,AIR BERLIN
Air Contractors,ABR,AG,Ireland,CONTRACT
Air India Limited,AIC,AI,India,AIRINDIA
Air Bourbon,BUB,ZB,Reunion,BOURBON
Air Atlanta Icelandic,ABD,CC,Iceland,ATLANTA
Air Inuit,AIE,,Canada,AIR INUIT
Air Srpska,SBK,RB,Bosnia and Herzegovina,Air Srpska
Air Tahiti Nui,THT,TN,France,TAHITI AIRLINES
Aero Services Executive,BES,W4,France,BIRD EXPRESS
Atlantic Island Airways,AIW,,Canada,TARTAN
Arkia Israel Airlines,AIZ,IZ,Israel,ARKIA
Ameristar Jet Charter,AJI,,United States,AMERISTAR
Allied Air,AJK,,Nigeria,BAMBI
Air Jamaica,AJM,JM,Jamaica,JAMAICA
Air One,ADH,AP,Italy,HERON
Air Sahara,RSH,S2,India,SAHARA
Air Malta,AMC,KM,Malta,AIR MALTA
Amerijet International,AJT,M6,United States,AMERIJET
Air Japan,AJX,NQ,Japan,AIR JAPAN
Air BC,ABL,,Canada,AIRCOACH
Air Fret Senegal,ABN,,Senegal,
Air Kiribati,AKL,4A,Kiribati,
Air Nippon Network Co. Ltd.,AKX,EH,Japan,ALFA WING
Albion Aviation,ALD,,United Kingdom,ALBION
America West Airlines,AWE,HP,United States,CACTUS
Air Wisconsin,AWI,ZW,United States,AIR WISCONSIN
Aerotransporte de Carga Union,TNO,,Mexico,AEROUNION
Tatarstan Airlines,TAK,U9,Russia,TATARSTAN
Alas de Venezuela,ALV,,Venezuela,ALVEN
Ameriflight,AMF,,United States,AMFLIGHT
Air Lithuania,KLA,TT,Lithuania,KAUNAS
Aviation Amos,AMJ,,Canada,AVIATION AMOS
Air Malawi,AML,QM,Malawi,MALAWI
Aeromedicare Ltd.,AMQ,,United Kingdom,LIFELINE
Air Macau,AMU,NX,Macao,AIR MACAO
AMC Airlines,AMV,,Egypt,
Air Midwest,AMW,ZV,United States,AIR MIDWEST
Air Seychelles,SEY,HM,Seychelles,SEYCHELLES
Air Sofia,SFB,,Bulgaria,AIR SOFIA
AeroMéxico,AMX,AM,Mexico,AEROMEXICO
All Nippon Airways,ANA,NH,Japan,ALL NIPPON
Air Nostrum,ANE,YW,Spain,AIR NOSTRUM
Air Niugini,ANG,PX,Papua New Guinea,NUIGINI
Air Arabia,ABY,G9,United Arab Emirates,ARABIA
Air Canada,ACA,AC,Canada,AIR CANADA
Air Baltic,BTI,BT,Latvia,AIRBALTIC
Alajnihah for Air Transport,ANH,,Libya,ALAJNIHAH
Air Nippon,ANK,EL,Japan,ANK AIR
Airnorth,ANO,TL,Australia,TOPEND
Andes Lineas Aereas,ANS,,Argentina,AEROANDES
Air North Charter - Canada,ANT,4N,Canada,AIR NORTH
AOM French Airlines,AOM,IW,France,French Lines
Air New Zealand,ANZ,NZ,New Zealand,NEW ZEALAND
AVCOM,AOC,J6,Russia,AERO AVCOM
Aero VIP,AOG,2D,Argentina,AVIP
Aeroenlaces Nacionales,VIV,,Mexico,AEROENLACES
Air Vegas,VGA,6V,United States,AIR VEGAS
Alitalia Express,SMX,XM,Italy,ALIEXPRESS
Asia Overnight Express,AOT,OE,Philippines,ASIA OVERNIGHT
Amapola Flyg AB,APF,,Sweden,AMAPOLA
Air People International,APG,,Thailand,AIR PEOPLE
Alpha Aviation,APH,,AIRFLIGHT,Inc.
Air Print,APJ,,AIR PRINT,S.A.
Atlantic Airlines,BJK,,United States,BLACKJACK
Aero Flight,ARF,GV,Germany,Aero Fox
All Charter Limited,BLA,,United Kingdom,ALL CHARTER
Arrow Air,APW,JW,United States,BIG A
Arik Air,ARA,W3,Nigeria,ARIK AIR
Aerocondor,ARD,2B,Portugal,AEROCONDOR
Aires,ARE,4C,S.A.,Aerovias de Integracion Regional
Aerolineas Argentinas,ARG,AR,Argentina,ARGENTINA
Airlec - Air Aquitaine Transport,ARL,,France,AIRLEC
Air Armenia,ARR,QN,Armenia,AIR ARMENIA
Aerotal Aerolineas Territoriales de Colombia Ltda,ART,,Colombia,AEROTAL
Air Resorts,ARZ,,United States,AIR RESORTS
Alaska Airlines,ASA,AS,ALASKA,Inc.
Air Sinai,ASD,4D,Egypt,AIR SINAI
Airstars,ASE,PL,Russia,MOROZOV
Airsprint,ASP,,Canada,AIRSPRINT
Atlantic Southeast Airlines,ASQ,EV,United States,ACEY
Astravia-Bissau Air Transports Ltd.,ASV,,Guinea-Bissau,ASTRAVIA
Astrakhan Airlines,ASZ,OB,Russia,AIR ASTRAKHAN
Air Tanzania,ATC,TC,Tanzania,TANZANIA
Aerotrans Airline,ATG,,Kazakhstan,BACHYT
Air Burkina,VBW,2J,Burkina Faso,BURKINA
Aero-Tropics Air Services,ATI,HC,Australia,
Airlines Of Tasmania,ATM,FO,Australia,AIRTAS
Air Saint Pierre,SPM,PJ,France,
Air Transport International,ATN,8C,United States,AIR TRANSPORT
Atlas Airlines,ATR,,United States,ATLAS-AIR
Austrian Airlines,AUA,OS,Austria,AUSTRIAN
Augsburg Airways,AUB,IQ,Germany,AUGSBURG-AIR
Aviastar-Tu,TUP,,Russia,TUPOLEVAIR
AirBridge Cargo,ABW,RU,Russia,AIRBRIDGE CARGO
Abu Dhabi Amiri Flight,AUH,MO,United Arab Emirates,SULTAN
Aeroflot-Nord,AUL,5N,Russia,DVINA
Aurigny Air Services,AUR,GR,United Kingdom,AYLINE
Aus-Air,AUS,NO,Australia,
Austral Lineas Aereas,AUT,AU,Argentina,AUSTRAL
Aurora Aviation,AUU,,AURORA AIR,Inc.
Australian Airlines,AUZ,AO,Australia,AUSTRALIAN
Avianca - Aerovias Nacionales de Colombia,AVA,AV,AVIANCA,S.A.
Aviation Beaufort,AVB,,United Kingdom,BEAUPAIR
Avia Traffic Company,AVJ,,Kyrgyzstan,ATOMIC
Air Vanuatu,AVN,NF,Vanuatu,AIR VAN
Active Aero Charter,AVR,,ACTIVE AERO,Inc.
Airlink Zambia,ZAK,K8,Zambia,
Airbus Transport International,BGA,,France,BELOUGA
Air Bangladesh,BGD,B9,Bangladesh,AIR BANGLA
Aviodetachment-28,BGF,,Bulgaria,BULGARIAN
Air Mediterranee,BIE,DR,France,MEDITERRANEE
Swaziland Airlink,SZL,,Swaziland,SWAZILINK
Air Moorea,TAH,,France,AIR MOOREA
Airways International,AWB,,AIRNAT,Inc.
Airwork,AWK,,New Zealand,AIRWORK
Air West,AWT,,Canada,AIR WEST
Aeroline GmbH,AWU,7E,Germany,SYLT-AIR
Air Wales,AWW,6G,United Kingdom,RED DRAGON
Air Caraïbes,FWI,TX,France,FRENCH WEST
Air India Express,AXB,IX,India,EXPRESS INDIA
Asian Express Airlines,AXF,HJ,Australia,FREIGHTEXPRESS
Air Exel,AXL,XT,Netherlands,EXEL COMMUTER
AirAsia,AXM,AK,Malaysia,ASIAN EXPRESS
Aerolineas Bonanza,BNZ,,Mexico,AERO BONANZA
Axis Airways,AXY,6V,France,AXIS
Atlant-Soyuz Airlines,AYZ,3G,Russia,ATLANT-SOYUZ
Alitalia,AZA,AZ,Italy,ALITALIA
Azamat,AZB,,Kazakhstan,TUMARA
Arcus-Air Logistic,AZE,ZE,Germany,ARCUS AIR
Air Zermatt AG,AZF,,Switzerland,AIR ZERMATT
Amaszonas,AZN,Z8,Bolivia,
Arizona Pacific Airways,AZP,,United States,ARIZONA PACIFIC
Aviacon Zitotrans Air Company,AZS,,Russia,ZITOTRANS
Azov Avia Airlines,AZV,,Ukraine,AZOV AVIA
Air Zimbabwe,AZW,UM,Zimbabwe,AIR ZIMBABWE
Air Memphis,MHS,,Egypt,AIR MEMPHIS
Arizona Airways,AZY,,ARIZAIR,Inc.
Azza Transport,AZZ,,Sudan,AZZA TRANSPORT
Aserca Airlines,OCA,R7,Venezuela,AROSCA
Aero Nova,OVA,,Spain,AERONOVA
Amira Air,XPE,,Austria,EXPERT
Air Libya Tibesti,TLR,,Libya,AIR LIBYA
Rossiya-Russian Airlines,SDM,FV,Russia,PULKOVO
Air Pullmantur,PLM,,Spain,PULLMANTUR
Aviaexpress,AEH,RX,Hungary,Avex
Aviateca,GUG,,Guatemala,AVIATECA
American Eagle Airlines,EGF,MQ,United States,EAGLE FLIGHT
Aeropuelche,PUE,,Chile,PUELCHE
Azzurra Air,AZI,,Italy,AZZURRA
Aeronaves TSM,VTM,,Mexico,AERONAVES TSM
Air Ivoire,VUN,VU,Ivory Coast,AIRIVOIRE
Air Botswana,BOT,BP,Botswana,BOTSWANA
Air Foyle,UPA,GS,United Kingdom,FOYLE
Air Tahiti,VTA,VT,French Polynesia,AIR TAHITI
Air Urga,URG,3N,Ukraine,URGA
Air VIA,VIM,VL,Bulgaria,
Africa West,WTA,FK,Togo,WEST TOGO
Avirex,VXG,G2,Gabon,AVIREX-GABON
ATRAN Cargo Airlines,VAS,V8,Russian Federation,ATRAN
Avensa,AVE,VE,Venezuela,Avensa
Avolar Aerolineas,VLI,V5,Mexico,AEROVOLAR
Aviostart AS,VSR,,Bulgaria,AVIOSTART
Air Caraibes Atlantique,CAJ,,France,CAR LINE
Air China Cargo,CAO,,China,AIRCHINA FREIGHT
Air China,CCA,CA,China,AIR CHINA
Aero Condor Peru,CDP,Q6,Peru,CONDOR-PERU
Aerofan,CFF,,Spain,AEROFAN
Aero Calafia,CFV,,Mexico,CALAFIA
Arctic Circle Air Service,CIR,5F,United States,AIR ARCTIC
Aero Continente Dominicana,CND,,Dominican Republic,CONDOMINICANA
Air Corridor,CRD,QC,Mozambique,AIR CORRIDOR
Air Central,CRF,NV,Japan,AIR CENTRAL
Air Creebec,CRQ,,Canada,CREE
Aero Charter and Transport,CTA,,United States,CHAR-TRAN
Air Chathams,CVA,CV,New Zealand,CHATHAM
Air Marshall Islands,CWM,CW,Marshall Islands,AIR MARSHALLS
Air One Cityliner,CYL,,Italy,CITYLINER
Access Air,CYD,ZA,United States,CYCLONE
Air Algerie,DAH,AH,Algeria,AIR ALGERIE
Aerovias DAP,DAP,,Chile,DAP
Adam Air,DHI,KI,Indonesia,ADAM SKY
Astar Air Cargo,DHL,ER,United States,DAHL
Antinea Airlines,DJA,HO,Algeria,ANTINEA
Air Dolomiti,DLA,EN,Italy,DOLOMOTI
Aerotaxis Dosmil,DML,,Mexico,
Aeroflot-Don,DNV,D9,Russia,DONAVIA
Air Madrid,DRD,NM,Spain,ALADA AIR
Aero Airlines,EAY,EE,Estonia,REVAL
Air City,ECE,4F,Germany,AIRCITY
Aer Lingus,EIN,EI,Ireland,SHAMROCK
Alpi Eagles,ELG,E8,Italy,ALPI EAGLES
Shenzhen Donghai Airlines,EPA,,China,DONGHAI AIR
Aeronaves Del Noroeste,ENW,,Spain,AERONOR
Air S,EQL,KY,Air S,EQUATORIAL
Aeronautica Le Esperanza,ESZ,,Mexico,ESPERANZA
ATTICO,ETC,,Sudan,TRANATTICO
Air Atlanta Europe,EUK,,United Kingdom,SNOWBIRD
Air Evex,EVE,,Germany,SUNBEAM
Air Fiji,FAJ,PC,Fiji,FIJIAIR
African Airlines,FDA,,Mali,AIR SANKORE
Air Finland,FIF,OF,Finland,AIR FINLAND
Airfix Aviation,FIX,,Finland,AIRFIX
Air Pacific,FJI,FJ,Fiji,PACIFIC
Atlantic Airways,FLI,RC,Faroe Islands,FAROELINE
Air Florida,FLZ,QH,United States,AIR FLORIDA
African Company Airlines,FPY,,Democratic Republic of the Congo,AFRICOMPANY
Air Iceland,FXI,NY,Iceland,FAXI
Air Philippines,GAP,2P,Philippines,ORIENT PACIFIC
Air Georgian,GGN,ZX,Canada,GEORGIAN
Air Ghana,GHN,,Ghana,AIR GHANA
Air Guinee Express,GIP,2U,Guinea,FUTURE EXPRESS
Aeroservicios Gama,GMS,,Mexico,SERVICIOS GAMA
Amber Air,GNT,0A,Lithuania,GINTA
Alberta Government,GOA,,Canada,ALBERTA
Air Georgia,GRG,DA,Georgia,AIR GEORGIA
Air Greenland,GRL,GL,Denmark,GREENLAND
Allegro,GRO,LL,Mexico,ALLEGRO
Aircompany Grodno,GRX,,Belarus,GRODNO
Atlas Air,GTI,5Y,United States,GIANT
Air Guyane,GUY,GG,French Guiana,GREEN BIRD
Air D'Ayiti,HAD,H9,Haiti,HAITI AVIA
Air Comores International,HAH,GG,Comoros,AIR COMORES
Air Taxi,HAT,,France,TAXI BIRD
Airlink Airways,HYR,,Ireland,HIGHFLYER
Air Horizon,HZT,8C,Togo,HORIZON TOGO
AC Insat-Aero,IAE,,Russia,
Air Bagan,JAB,W9,Myanmar,AIR BAGAN
Alexandair,JMR,,Canada,ALEXANDAIR
Atyrau Air Ways,JOL,IP,Kazakhstan,EDIL
Air Canada Jazz,JZA,QK,Canada,JAZZ
Atlasjet,KKK,KK,Turkey,ATLASJET
Air Koryo,KOR,JS,Democratic People's Republic of Korea,AIR KORYO
AeroSucre,KRE,,Colombia,AEROSUCRE
Air Astana,KZR,KC,Kazakhstan,ASTANALINE
Albanian Airlines,LBC,LV,Albania,ALBANIAN
Alidaunia,LID,D4,Italy,ALIDA
Alliance Air,LLR,CD,India,ALLIED
Aerolane,LNE,XL,Ecuador,LAN ECUADOR
Airlink,LNK,,South Africa,LINK
Air Alps Aviation,LPV,A6,Austria,ALPAV
Atlantis European Airways,LUR,TD,Armenia,
Air Luxor GB,LXG,L8,Guinea-Bissau,LUXOR GOLF
Air Luxor,LXR,LK,Portugal,AIRLUXOR
Air Mauritius,MAU,MK,Mauritius,AIRMAURITIUS
Air Manas,MBB,,Kyrgyzstan,AIR MANAS
Air Medical,MCD,,United Kingdom,AIR MED
Air Madagascar,MDG,MD,Madagascar,AIR MADAGASCAR
Asia Pacific Airlines,MGE,,United States,MAGELLAN
Air Moldova,MLD,9U,Moldova,AIR MOLDOVA
Air Madeleine,MLN,,Canada,AIR MADELEINE
Air Alsie,MMD,,Denmark,MERMAID
Aviation Company Meridian,MMM,,Russia,AVIAMERIDIAN
Aerolineas Amanecer,MNE,,Mexico,AEROAMANECER
Aero Mongolia,MNG,M0,Mongolia,AERO MONGOLIA
Air Plus Comet,MPD,A7,Spain,RED COMET
Aeromexpress,MPX,QO,Mexico,AEROMEXPRESS
Air ITM,MQT,,France,MUSKETEER
Air Mauritanie,MRT,MR,Mauritania,MIKE ROMEO
Air Cairo,MSC,,Egypt,
Albarka Air,NBK,F4,Nigeria,AL-AIR
Aero Contractors,NIG,AJ,Nigeria,AEROLINE
Atlantic Airlines,NPT,,United Kingdom,NEPTUNE
Atlantic Richfield Company,NRS,,United States,NORTH SLOPE
Air Burundi,PBU,8Y,Burundi,AIR-BURUNDI
Aeropelican Air Services,PEL,OT,Australia,PELICAN
Air Paradise International,PRZ,AD,Indonesia,RADISAIR
Air Class Lineas Aereas,QCL,QD,Uruguay,ACLA
African Safari Airways,QSC,QS,Kenya,ZEBRA
Airbus France,RBU,4Y,France,AIRBUS FRANCE
Air Mobility Command,RCH,MC,United States,REACH
Aer Arann,REA,RE,Ireland,AER ARANN
Air Austral,REU,UU,France,REUNION
Aerotransportes Rafilher,RFD,,Mexico,RAFHILER
Asian Spirit,RIT,6K,Philippines,ASIAN SPIRIT
Air Afrique,RKA,RK,Ivory Coast,AIRAFRIC
Airlinair,RLA,A5,France,AIRLINAIR
Air Nelson,RLK,,New Zealand,
Aero Lanka,RLN,QL,Sri Lanka,AERO LANKA
Armenian International Airways,RML,MV,Armenia,
Air Salone,RNE,20,Sierra Leone,AIR SALONE
Armavia,RNV,U8,Armenia,ARMAVIA
Avior Airlines,ROI,,Venezuela,AVIOR
Aeromar,ROM,BQ,Dominican Republic,BRAVO QUEBEC
AeroRep,RPB,P5,Colombia,AEROREPUBLICA
Aerolineas Del Pacifico,RPC,,Ecuador,AEROPACSA
Aerolineas Ejecutivas Tarascas,RSC,,Mexico,TARASCAS
Aero-Service,RSR,BF,Republic of the Congo,CONGOSERV
Aerosur,RSU,5L,Bolivia,AEROSUR
ACT Havayollari,RUN,,Turkey,CARGO TURK
Air VIP,RVP,,Portugal,AEROVIP
Air Santo Domingo,SDO,EX,Dominican Republic,AERO DOMINGO
Aero California,SER,JR,Mexico,AEROCALIFORNIA
Airshare Holdings,SHH,,United Kingdom,AIRSHARE
Aero-North Aviation Services,SKP,,Canada,SKIPPER
Avient Aviation,SMJ,Z3,Zimbabwe,AVAVIA
Air Service,SPJ,M3,Macedonia,AIR SKOPJE
Aeropac,STK,,United States,SAT PAK
Air St. Thomas,STT,,United States,PARADISE
Air Slovakia,SVK,GM,Slovakia,SLOVAKIA
Aircompany Yakutia,SYL,R3,Russia,AIR YAKUTIA
Aeromar,TAO,VW,Mexico,TRANS-AEROMAR
Air Turks and Caicos,TCI,JY,Turks and Caicos Islands,KERRMONT
Arkefly,TFL,OR,Netherlands,ARKEFLY
Atlantique Air Assistance,TLB,,France,TRIPLE-A
Airlines PNG,TOK,CG,Papua New Guinea,BALUS
Aero Tanala,TON,,Mexico,AEROTANALA
Air Cal,TPC,TY,France,AIRCAL
AirTran Airways,TRS,FL,United States,CITRUS
Air Transat,TSC,TS,Canada,TRANSAT
Avialeasing Aviation Company,TWN,EC,Uzbekistan,TWINARROW
Tyrolean Airways,TYR,VO,Austria,TYROLEAN
Afra Airlines,UAG,,Ghana,AFRALINE
Aerostar Airlines,UAR,,Ukraine,AEROSTAR
Aero-Charter Ukraine,UCR,DW,Ukraine,CHARTER UKRAINE
Air Ukraine,UKR,6U,Ukraine,AIR UKRAINE
Aerolineas Galapagos (Aerogal),GLG,2K,Ecuador,AEROGAL
Alrosa Mirny Air Enterprise,DRU,6R,Russia,MIRNY
Bahrain Air BSC (Closed),BAB,,Bahrain,AWAL
BAE Systems,BAE,,United Kingdom,FELIX
Baker Aviation,BAJ,8Q,United States,BAKER AVIATION
Business Air Services,BAM,,Canada,BUSINESS AIR
Bradly Air (Charter) Services,BAR,,Canada,BRADLEY
Bay Aviation Ltd,BAV,,Bangladesh,BAY AIR
